category_name,product_name,total_revenue
Comfort Bicycles,Sun Bicycles Streamway 3 - 2017,19363.8092
Comfort Bicycles,Sun Bicycles Streamway 7 - 2017,17637.6897
Comfort Bicycles,Electra Townie Original 7D - 2017,17502.4428
Comfort Bicycles,Sun Bicycles Cruz 3 - 2017,17036.6214
Comfort Bicycles,Sun Bicycles Cruz 7 - Women's - 2017,12968.389
Comfort Bicycles,Sun Bicycles Streamway - 2017,12816.1141
Comfort Bicycles,Sun Bicycles Cruz 3 - Women's - 2017,12622.2195
Comfort Bicycles,Sun Bicycles Drifter 7 - 2017,10644.374
Comfort Bicycles,Sun Bicycles Drifter 7 - Women's - 2017,10027.3771
Comfort Bicycles,Sun Bicycles Cruz 7 - 2017,9361.4255
Comfort Bicycles,Electra Townie Commute 27D Ladies - 2018,5912.9343
Comfort Bicycles,Electra Townie Balloon 3i EQ Ladies' - 2018,5447.9319
Comfort Bicycles,Electra Townie Original 21D EQ - 2017/2018,5439.92
Comfort Bicycles,Electra Townie Balloon 7i EQ Ladies' - 2017/2018,5039.944
Comfort Bicycles,Electra Townie Go! 8i - 2017/2018,4835.9814
Comfort Bicycles,Electra Townie Balloon 7i EQ - 2018,4013.9554
Comfort Bicycles,Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,3749.95
Comfort Bicycles,Electra Townie Balloon 8D EQ - 2016/2017/2018,2092.4721
Comfort Bicycles,Electra Townie Original 1 - 2018,2069.954
Comfort Bicycles,Electra Townie Commute 8D - 2018,1874.975
Comfort Bicycles,Electra Townie Original 1 Ladies' - 2018,1574.965
Comfort Bicycles,Electra Townie Commute 8D Ladies' - 2018,1259.982
Comfort Bicycles,Electra Townie Original 21D EQ Ladies' - 2018,1087.984
Comfort Bicycles,Electra Townie Original 21D Ladies' - 2018,1063.981
Comfort Bicycles,Electra Townie Commute 27D - 2018,836.9907
Comfort Bicycles,Electra Townie Balloon 3i EQ - 2017/2018,674.991
Comfort Bicycles,Electra Townie Original 21D - 2018,447.992
Cruisers Bicycles,,995032.6237
Cruisers Bicycles,Electra Townie Original 7D EQ - 2016,82744.6209
Cruisers Bicycles,Electra Townie Original 21D - 2016,75772.1223
Cruisers Bicycles,Electra Townie Original 7D EQ - Women's - 2016,66508.8915
Cruisers Bicycles,Electra Moto 1 - 2016,65061.5724
Cruisers Bicycles,Pure Cycles Western 3-Speed - Women's - 2015/2016,54270.63
Cruisers Bicycles,Pure Cycles Vine 8-Speed - 2016,51531.48
Cruisers Bicycles,Pure Cycles William 3-Speed - 2016,43674.23
Cruisers Bicycles,Electra Amsterdam Fashion 7i Ladies' - 2017,39863.6376
Cruisers Bicycles,Electra Cruiser 1 (24-Inch) - 2016,37992.9928
Cruisers Bicycles,Electra Townie Commute Go! Ladies' - 2018,29849.9005
Cruisers Bicycles,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,29785.2968
Cruisers Bicycles,Electra Glam Punk 3i Ladies' - 2017,27647.6544
Cruisers Bicycles,Sun Bicycles Biscayne Tandem CB - 2017,22899.9666
Cruisers Bicycles,Sun Bicycles Brickell Tandem 7 - 2017,19544.7394
Cruisers Bicycles,Electra Amsterdam Original 3i - 2015/2017,18987.9123
Cruisers Bicycles,Sun Bicycles Lil Bolt Type-R - 2017,18681.9416
Cruisers Bicycles,Sun Bicycles Biscayne Tandem 7 - 2017,18289.705
Cruisers Bicycles,Electra Amsterdam Original 3i Ladies' - 2017,17793.3304
Cruisers Bicycles,Electra Townie Commute Go! - 2018,16649.9445
Cruisers Bicycles,Sun Bicycles Atlas X-Type - 2017,15620.4454
Cruisers Bicycles,Electra Cruiser Lux Fat Tire 1 Ladies - 2017,14747.7542
Cruisers Bicycles,Electra Townie Go! 8i Ladies' - 2018,14143.9456
Cruisers Bicycles,Sun Bicycles Brickell Tandem CB - 2017,13045.2688
Cruisers Bicycles,Electra Townie Original 7D - 2017,11661.762
Cruisers Bicycles,Sun Bicycles Cruz 7 - 2017,10996.0263
Cruisers Bicycles,Sun Bicycles Cruz 3 - 2017,10673.7628
Cruisers Bicycles,Electra Cruiser Lux 1 - 2017,10432.1629
Cruisers Bicycles,Electra Koa 3i Ladies' - 2018,8819.902
Cruisers Bicycles,Sun Bicycles Revolutions 24 - 2017,8011.6008
Cruisers Bicycles,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,7447.2552
Cruisers Bicycles,"Electra Girl's Hawaii 1 16"" - 2017",7301.7566
Cruisers Bicycles,Electra Super Moto 8i - 2018,6443.9284
Cruisers Bicycles,Sun Bicycles Revolutions 24 - Girl's - 2017,5436.4434
Cruisers Bicycles,Electra Townie Commute 8D Ladies' - 2018,5389.923
Cruisers Bicycles,Electra Delivery 3i - 2016/2017/2018,4953.5484
Cruisers Bicycles,Electra Daydreamer 3i Ladies' - 2018,4949.945
Cruisers Bicycles,Electra Relic 3i - 2018,4844.943
Cruisers Bicycles,Electra Townie Balloon 3i EQ Ladies' - 2018,4359.9455
Cruisers Bicycles,Electra Townie Original 21D EQ - 2017/2018,4256.7374
Cruisers Bicycles,Electra Queen of Hearts 3i - 2018,4162.4445
Cruisers Bicycles,Electra Tiger Shark 3i - 2018,4103.9544
Cruisers Bicycles,Electra Amsterdam Fashion 3i Ladies' - 2017/2018,4004.9555
Cruisers Bicycles,Electra Townie Original 21D EQ Ladies' - 2018,3875.943
Cruisers Bicycles,Electra Cruiser Lux 1 Ladies' - 2018,3874.2099
Cruisers Bicycles,Electra Townie Original 7D EQ Ladies' - 2017/2018,3683.9386
Cruisers Bicycles,Electra Cruiser Lux 3i - 2018,3455.5348
Cruisers Bicycles,Electra White Water 3i - 2018,3412.4545
Cruisers Bicycles,Electra Townie Commute 27D Ladies - 2018,3329.963
Cruisers Bicycles,Electra Townie Balloon 3i EQ - 2017/2018,3172.4577
Cruisers Bicycles,Electra Straight 8 3i - 2018,3121.2657
Cruisers Bicycles,Electra Amsterdam Royal 8i Ladies - 2018,3035.9747
Cruisers Bicycles,Electra Moto 3i - 2018,2771.1567
Cruisers Bicycles,Electra Townie Balloon 7i EQ - 2018,2483.9724
Cruisers Bicycles,Electra Townie Balloon 8D EQ - 2016/2017/2018,2474.967
Cruisers Bicycles,Electra Townie Balloon 7i EQ Ladies' - 2017/2018,2456.9727
Cruisers Bicycles,Electra Townie Go! 8i - 2017/2018,2417.9907
Cruisers Bicycles,Electra Cruiser Lux 1 - 2016/2018,2175.7494
Cruisers Bicycles,Electra Morningstar 3i Ladies' - 2018,2009.9732
Cruisers Bicycles,Electra Townie Commute 8D - 2018,1897.4747
Cruisers Bicycles,Electra Cruiser Lux 3i Ladies' - 2018,1854.965
Cruisers Bicycles,Electra Townie Original 3i EQ - 2017/2018,1834.7722
Cruisers Bicycles,Electra Cruiser Lux 7D - 2018,1823.962
Cruisers Bicycles,Electra Townie Original 3i EQ Ladies' - 2018,1811.1717
Cruisers Bicycles,Electra Cruiser Lux Fat Tire 7D - 2018,1811.1717
Cruisers Bicycles,Electra Cruiser 1 - 2016/2017/2018,1682.0377
Cruisers Bicycles,Electra Townie Original 21D Ladies' - 2018,1573.5719
Cruisers Bicycles,Electra Cruiser 1 Ladies' - 2018,1482.2451
Cruisers Bicycles,Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,1209.5622
Cruisers Bicycles,Electra Amsterdam Royal 8i - 2017/2018,1133.91
Cruisers Bicycles,Electra Townie Original 7D EQ - 2018,1019.983
Cruisers Bicycles,Electra Cruiser 7D Tall - 2016/2018,873.5727
Cruisers Bicycles,Electra Townie Commute 27D - 2018,809.991
Cruisers Bicycles,Electra Cruiser Lux 7D Ladies' - 2018,767.984
Cruisers Bicycles,Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,674.991
Cruisers Bicycles,Electra Cruiser 7D Ladies' - 2016/2018,591.9815
Cruisers Bicycles,Electra Townie Original 21D - 2018,520.7907
Cruisers Bicycles,Electra Cruiser 7D - 2016/2017/2018,303.9905
Cruisers Bicycles,Electra Cruiser 1 Tall - 2016/2018,242.991
Cyclocross Bicycles,,711011.8359
Cyclocross Bicycles,Surly Straggler 650b - 2016,226765.551
Cyclocross Bicycles,Surly Straggler - 2016,203507.62
Cyclocross Bicycles,Trek Boone 7 - 2017,127609.6354
Cyclocross Bicycles,Trek Boone Race Shop Limited - 2017,91244.7393
Cyclocross Bicycles,Trek Boone 7 Disc - 2018,28239.9294
Cyclocross Bicycles,Trek Crockett 7 Disc - 2018,13679.9544
Cyclocross Bicycles,Surly Straggler - 2018,6428.35
Cyclocross Bicycles,Trek Boone 5 Disc - 2018,6038.9817
Cyclocross Bicycles,Trek Crockett 5 Disc - 2018,4553.9747
Cyclocross Bicycles,Surly Straggler 650b - 2018,2943.1
Electric Bikes,,916684.78
Electric Bikes,Trek Conduit+ - 2016,389248.7025
Electric Bikes,Trek Powerfly 8 FS Plus - 2017,188249.6235
Electric Bikes,Sun Bicycles ElectroLite - 2017,47049.2984
Electric Bikes,Trek Super Commuter+ 8S - 2018,37299.9254
Electric Bikes,Trek Powerfly 7 FS - 2018,36499.927
Electric Bikes,Trek Super Commuter+ 7 - 2018,25847.9282
Electric Bikes,Trek XM700+ - 2018,24149.931
Electric Bikes,Trek XM700+ Lowstep - 2018,20964.9401
Electric Bikes,Trek Conduit+ - 2018,17807.9364
Electric Bikes,Trek Powerfly 5 Women's - 2018,16204.9537
Electric Bikes,Electra Townie Commute Go! - 2018,15749.9475
Electric Bikes,Trek CrossRip+ - 2018,15524.9655
Electric Bikes,Trek Dual Sport+ - 2018,15455.9448
Electric Bikes,Trek Lift+ - 2018,12403.9557
Electric Bikes,Trek Verve+ - 2018,9544.9585
Electric Bikes,Trek Verve+ Lowstep - 2018,9429.959
Electric Bikes,Trek Neko+ - 2018,7727.9724
Electric Bikes,Electra Loft Go! 8i - 2018,7643.9727
Electric Bikes,Electra Townie Commute Go! Ladies' - 2018,5399.982
Electric Bikes,Trek Lift+ Lowstep - 2018,4479.984
Electric Bikes,Trek Powerfly 5 FS - 2018,4274.9905
Electric Bikes,Trek Powerfly 5 - 2018,3254.9907
Electric Bikes,Electra Townie Go! 8i - 2017/2018,2469.9905
Mountain Bikes,,2715079.5337
Mountain Bikes,Trek Slash 8 27.5 - 2016,555558.6111
Mountain Bikes,Trek Fuel EX 8 29 - 2016,368472.7294
Mountain Bikes,Trek Remedy 29 Carbon Frameset - 2016,203380.8701
Mountain Bikes,Trek Fuel EX 9.8 27.5 Plus - 2017,159052.6999
Mountain Bikes,Heller Shagamaw Frame - 2016,151160.8857
Mountain Bikes,Trek Fuel EX 9.8 29 - 2017,147449.7051
Mountain Bikes,Surly Wednesday Frameset - 2016,112288.8771
Mountain Bikes,Trek Remedy 9.8 - 2017,105469.801
Mountain Bikes,Surly Karate Monkey 27.5+ Frameset - 2017,87474.6501
Mountain Bikes,Ritchey Timberwolf Frameset - 2016,78898.948
Mountain Bikes,Surly Ice Cream Truck Frameset - 2016,70371.6027
Mountain Bikes,Trek Fuel EX 5 27.5 Plus - 2017,67849.705
Mountain Bikes,Haro Shift R3 - 2017,46980.8804
Mountain Bikes,Haro SR 1.2 - 2017,39862.9418
Mountain Bikes,Surly Troll Frameset - 2017,34477.4561
Mountain Bikes,Haro SR 1.3 - 2017,34121.758
Mountain Bikes,Trek Stache 5 - 2017,33719.7752
Mountain Bikes,Trek X-Caliber 8 - 2017,30939.6906
Mountain Bikes,Trek Fuel EX 8 29 XT - 2018,29503.9078
Mountain Bikes,Surly Big Dummy Frameset - 2017,27679.7232
Mountain Bikes,Surly Ice Cream Truck Frameset - 2017,27269.7273
Mountain Bikes,Surly Wednesday - 2017,26438.1081
Mountain Bikes,Sun Bicycles Spider 3i - 2017,19491.966
Mountain Bikes,Trek Fuel EX 8 29 - 2018,14431.9549
Mountain Bikes,Surly Wednesday Frameset - 2017,14367.5943
Mountain Bikes,Trek Remedy 7 27.5 - 2018,14069.9531
Mountain Bikes,Haro Flightline Two 26 Plus - 2017,14008.2453
Mountain Bikes,Surly ECR 27.5 - 2018,13103.1
Mountain Bikes,Trek Fuel EX 5 Plus - 2018,12824.943
Mountain Bikes,Trek Remedy 9.8 27.5 - 2018,11999.976
Mountain Bikes,Trek Farley Alloy Frameset - 2017,11937.746
Mountain Bikes,Surly Krampus - 2018,11767.15
Mountain Bikes,Heller Shagamaw GX1 - 2018,11305.65
Mountain Bikes,Surly Troll Frameset - 2018,11074.9557
Mountain Bikes,Haro SR 1.1 - 2017,10740.4011
Mountain Bikes,Haro Flightline One ST - 2017,10430.7255
Mountain Bikes,Trek Stache 5 - 2018,10063.9371
Mountain Bikes,Heller Bloodhound Trail - 2018,8992.54
Mountain Bikes,Trek Fuel EX 7 29 - 2018,7999.968
Mountain Bikes,Trek Farley Carbon Frameset - 2018,7239.9276
Mountain Bikes,Trek Session DH 27.5 Carbon Frameset - 2017,6781.9557
Mountain Bikes,Trek Ticket S Frame - 2018,5527.1624
Mountain Bikes,Trek X-Caliber Frameset - 2018,5219.9652
Mountain Bikes,Trek Procaliber 6 - 2018,4553.9747
Mountain Bikes,Trek Remedy 27.5 C Frameset - 2018,4199.972
Mountain Bikes,Trek Stache Carbon Frameset - 2018,4149.1549
Mountain Bikes,Trek Procaliber Frameset - 2018,4139.9724
Mountain Bikes,Trek Procal AL Frameset - 2018,4049.973
Mountain Bikes,Trek X-Caliber 7 - 2018,3983.5567
Mountain Bikes,Trek Marlin 5 - 2018,3498.5286
Mountain Bikes,Surly Big Fat Dummy Frameset - 2018,2928.0377
Mountain Bikes,Trek X-Caliber 8 - 2018,2499.975
Mountain Bikes,Trek Kids' Neko - 2018,2213.6529
Mountain Bikes,Surly Pack Rat Frameset - 2018,2143.1544
Mountain Bikes,Trek Marlin 7 - 2017/2018,2069.9724
Mountain Bikes,Trek Marlin 6 - 2018,1467.3747
Mountain Bikes,Trek 820 - 2018,1379.3637
Road Bikes,,1665098.488
Road Bikes,Trek Domane SLR 6 Disc - 2017,211584.6153
Road Bikes,Trek Madone 9.2 - 2017,175899.6482
Road Bikes,Trek Silque SLR 8 Women's - 2017,174524.7315
Road Bikes,Trek Silque SLR 7 Women's - 2017,163079.7282
Road Bikes,Trek Domane SL 6 - 2017,113644.6753
Road Bikes,Trek Domane S 6 - 2017,93527.6536
Road Bikes,Trek Domane SL Disc Frameset - 2017,68511.7859
Road Bikes,Trek Domane S 5 Disc - 2017,59513.7711
Road Bikes,Trek Emonda S 4 - 2017,57359.6176
Road Bikes,Trek Domane SLR 9 Disc - 2018,54359.9547
Road Bikes,Trek Emonda S 5 - 2017,41079.7946
Road Bikes,Trek Domane SL 7 Women's - 2018,31399.9372
Road Bikes,Surly Steamroller - 2017,27690.0439
Road Bikes,Trek Domane SLR 8 Disc - 2018,27374.9635
Road Bikes,Trek Emonda SLR 8 - 2018,24179.9628
Road Bikes,Trek Domane SL 6 - 2018,23679.926
Road Bikes,Trek Emonda SLR 6 - 2018,20789.9538
Road Bikes,Trek Domane ALR Disc Frameset - 2018,19999.9375
Road Bikes,Trek Domane SL Frameset - 2018,17549.973
Road Bikes,Trek Domane SL 6 Disc - 2018,17324.9505
Road Bikes,Trek Emonda ALR 6 - 2018,15110.9343
Road Bikes,Surly Ogre Frameset - 2017,14909.8012
Road Bikes,Trek Domane SL 8 Disc - 2018,14739.9732
Road Bikes,Trek Domane ALR Frameset - 2018,13439.958
Road Bikes,Trek Emonda SL 7 - 2018,12059.9732
Road Bikes,Trek Domane ALR 5 Gravel - 2018,11681.9351
Road Bikes,Trek Domane ALR 5 Disc - 2018,11141.9381
Road Bikes,Trek Domane SL 5 Disc - 2018,11074.9557
Road Bikes,Trek Emonda SL 6 Disc - 2018,10799.964
Road Bikes,Trek Domane SLR 6 Disc - 2018,10449.981
Road Bikes,Trek Domane SL 5 - 2018,10031.9544
Road Bikes,Trek Domane ALR 4 Disc Women's - 2018,9749.4371
Road Bikes,Surly Pack Rat - 2018,9335.08
Road Bikes,Trek Domane SLR Frameset - 2018,8927.9721
Road Bikes,Trek 1120 - 2018,8749.965
Road Bikes,Trek Domane SLR 6 - 2018,8499.983
Road Bikes,Trek Domane SL 5 Disc Women's - 2018,6249.975
Road Bikes,Trek Domane AL 3 Women's - 2018,6219.1324
Road Bikes,Trek Domane SL Frameset Women's - 2018,6174.9905
Road Bikes,Surly Straggler 650b - 2018,5359.54
Road Bikes,Surly Straggler - 2018,5344.05
Road Bikes,Surly ECR - 2018,5127.3
Road Bikes,Trek CrossRip 1 - 2018,4089.5574
Road Bikes,Trek Domane ALR 4 Disc - 2018,3921.4747
Road Bikes,Trek Domane AL 2 Women's - 2018,3382.4549
Road Bikes,Trek Madone 9 Frameset - 2018,2975.9907
Road Bikes,Trek Domane AL 2 - 2018,2624.965
Road Bikes,Trek Domane AL 3 - 2018,2585.1719
Road Bikes,Trek Domane SLR Disc Frameset - 2018,2559.992
Road Bikes,Trek Domane SL 5 Women's - 2018,1759.992
Road Bikes,Trek CrossRip 2 - 2018,1208.9907
Road Bikes,Trek Domane ALR 3 - 2018,1022.9907
Road Bikes,Surly ECR Frameset - 2018,712.4905
